"year","pdi"
1984,7.07040615704969
1985,7.06766381662136
1986,7.06768687221549
1987,7.07005878341317
1988,7.06984528438556
1989,7.06890657406757
1990,7.06865014780179
1991,7.0678985623442
1992,7.07032656562588
1993,7.0681424899671
1994,7.06779553636137
1995,7.07349261094235
1996,7.0707988149018
1997,7.06830801141979
1998,7.07324706109283
1999,7.07276381533338
2000,7.07184804420424
2001,7.07364210857209
2002,7.07133674285414
2003,7.07427384905752
2004,7.07322576233353
2005,7.07675102708558
2006,7.07501964789328
2007,7.07492960085195
2008,7.07440095864954
2009,7.07254004066839
2010,7.07747601658641
2011,7.07737276587482
2012,7.07761517310141
2013,7.07597489353112
2014,7.07523641491439
2015,7.07366750775291
2016,7.07609805241014
2017,7.07758160874391
2018,7.07557276420089
