"year","smdi"
1984,7.12690328330584
1985,7.12029316301627
1986,7.12203326580371
1987,7.12676173095408
1988,7.12311524751824
1989,7.12186448237504
1990,7.12361211982307
1991,7.12403674198177
1992,7.12070161551765
1993,7.12578918335989
1994,7.12487960799208
1995,7.1294125398564
1996,7.12305869942688
1997,7.12809386967672
1998,7.12328679251079
1999,7.12663895423705
2000,7.12985310155146
2001,7.12833003830068
2002,7.12560793539648
2003,7.13348605457968
2004,7.12904515103402
2005,7.1307022287946
2006,7.13130939548515
2007,7.13006429101199
2008,7.12869280494434
2009,7.13106372182484
2010,7.13184374191001
2011,7.13301548092477
2012,7.13563515622282
2013,7.12749288361883
2014,7.12703854354459
2015,7.12681275246998
2016,7.13018004629476
2017,7.13039472593713
2018,7.12946437111463
